SubROI,MajorROI,System,ROIAreapx,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,OLTotal,fseq,CountPerROI
CLA,CLA,CORTICO-AMY,358916.906976744,19.2879315116279,279.076356589147,336.081782945736,199.331395348837,814.489534883721,16.8170542635659,14.7546511627907,10.1217054263566,41.6934108527132,16.0426356589147,18.1426356589147,12.9984496124031,47.1837209302326,171.040697674419,192.707364341085,62.3759689922481,426.124031007752,4.73565891472868,7.9031007751938,4.39651162790698,17.0352713178295,99.1383720930232,43
COA,COA,OLFACTORY,1667211.41176471,58.4296413585434,1262.35992063492,1545.35065359477,1095.06486928105,3902.77544351074,21.0358543417367,20.8204014939309,16.1799953314659,58.0362511671335,119.518347338936,127.598295985061,79.7960084033613,326.912651727358,668.548739495798,786.60870681606,445.19591503268,1900.35336134454,5.93704481792717,8.30954715219421,4.62058823529412,18.8671802054155,480.490056022409,51
CeA,CeA,NUCLEAR AMY,1142841.53061224,45.2824730466472,1131.0138483965,1215.06761418853,741.316642371234,3087.39810495627,11.8744897959184,10.4149659863946,7.79302721088435,30.0824829931973,118.772254616132,147.31630223518,120.277113702624,386.365670553936,520.542419825073,564.597254616132,212.957774538387,1298.09744897959,3.37959183673469,4.49761904761905,2.06853741496599,9.94574829931973,341.7472303207,49
Cpu,Cpu,STRIATUM,19837685.72,74.5696947476191,16505.271452381,18126.3443809524,11782.5672142857,46414.1830476191,536.728214285714,496.681785714286,372.125952380952,1405.53595238095,1625.90828571429,2072.73452380952,1962.91959523809,5661.5624047619,8195.53683333333,8177.28873809524,2655.69647619048,19028.522047619,144.807476190476,176.889547619048,74.8970476190476,396.594071428571,514.591857142857,50
DG,DG,SUBIC-HPC,2428919.14285714,101.441333263568,4534.02211926396,5189.45596948403,3744.13634404145,13467.6144327894,88.1659722363804,63.5063251940803,41.4417052901747,193.114002720635,840.202897216162,1141.85513794595,953.517876624509,2935.57591178663,2245.16760676965,2255.07919285929,874.648107561373,5374.89490719031,12.6392849780605,16.8143506720037,6.82447824284559,36.2781138929098,847.66346170836,49
DP,DP,OLFACTORY,232118.029411765,12.16539410831,194.308893557423,217.371241830065,137.510830999066,549.190966386555,0.0916666666666667,0.0117647058823529,0,0.10343137254902,12.5204481792717,16.2735527544351,14.5258403361345,43.3198412698413,79.8173902894491,90.0734827264239,37.8053454715219,207.696218487395,0.0367647058823529,0.00735294117647059,0.0602941176470588,0.104411764705882,53.0609243697479,34
ECT,ECT,TEMP ASSOC CTX,1049511.34693878,42.203410827319,813.703827068623,1015.90702392845,712.307323911916,2541.91817490899,6.73819627084933,6.74864964967006,4.9450885848845,18.4319345054039,86.6588506165037,80.0883832720567,43.4865444646057,210.233778353166,452.393953722015,560.669323816773,412.553030416296,1425.61630795508,1.46114225910144,2.99120380753034,1.86375121477162,6.3160972814034,414.535812486833,49
ENT,ENT,TEMP ASSOC CTX,3471614.81632653,29.6114244667294,2106.79975415741,2694.15848550542,1914.27081999633,6715.22905965916,8.82029212284314,9.34844843365252,7.53387814000059,25.7026186964962,310.757897657898,312.434246875573,171.515815307142,794.707959840613,1084.05113735471,1335.71305723755,1088.16834208875,3507.93253668101,1.88264247090778,3.53114572502327,2.84336632755,8.25715452348105,346.913363507241,49
EP,EP,OLFACTORY,1765777.35294118,75.6787856279178,1439.06353874883,1686.60308901338,1051.19624961096,4176.86287737317,46.2224323062558,48.4058823529412,38.1038748832867,132.732189542484,106.647914721444,107.173887332711,73.9296763149704,287.751478369125,778.835371926549,911.598451602864,481.440250544662,2171.87407407407,14.3870681605976,19.7615079365079,9.7781045751634,43.9266806722689,557.1581232493,51
EPI,EPI,THALAMIC,486091.80952381,26.6518763095238,436.143253968254,385.440079365079,317.470634920635,1139.05396825397,1.9468253968254,1.2,0.503968253968254,3.65079365079365,41.2043650793651,63.565873015873,73.2103174603175,177.980555555556,193.623809523809,221.259126984127,80.9222222222222,495.805158730159,0.297619047619048,0.178571428571429,0.0761904761904762,0.552380952380952,241.734523809524,42
Gus,Gus,VISC CTX,886583.8,25.3012304238095,592.109214285714,738.131642857143,504.954785714286,1835.19564285714,30.3539761904762,33.8312142857143,46.2701904761905,110.455380952381,32.9169523809524,32.1342380952381,19.5696666666667,84.6208571428571,357.398047619048,443.63919047619,244.01330952381,1045.05054761905,9.77969047619048,15.9412142857143,10.089119047619,35.8100238095238,170.566571428571,50
HY,HY,HYPOTHAL,1153790.8,NaN,837.999714285714,1047.85252380952,804.910833333333,2690.76307142857,0.943190476190476,0.61202380952381,0.116666666666667,1.67188095238095,86.8068095238095,105.132261904762,79.5896428571429,271.528714285714,465.914952380952,570.185595238095,243.049976190476,1279.15052380952,0.126214285714286,0.311690476190476,0.160666666666667,0.598571428571428,491.649857142857,50
IA,IA,CORTICO-AMY,111659.315789474,14.8793915350877,99.7368421052632,115.694736842105,73.0447368421053,288.476315789474,0.727631578947368,0.748684210526316,0.302631578947368,1.77894736842105,9.4140350877193,7.81052631578947,4.18377192982456,21.4083333333333,53.4263157894737,69.4828947368421,39.3289473684211,162.238157894737,0.125,0.526315789473684,0.15,0.801315789473684,121.276315789474,38
ILM,ILM,THALAMIC,1001842.6875,38.9059549231151,760.379340277778,737.272197420635,413.16498015873,1910.81651785714,3.74965277777778,1.92013888888889,0.398958333333333,6.06875,56.6988343253968,59.5665674603175,43.7967261904762,160.06212797619,504.406324404762,625.229464285714,210.865054563492,1340.50084325397,0.438888888888889,1.27395833333333,0.460416666666667,2.17326388888889,342.786755952381,48
InfL,InfL,PFC,994230.025,19.3460212876984,838.645992063492,959.259226190476,619.470079365079,2417.37529761905,2.07980158730159,1.43099206349206,0.857777777777778,4.36857142857143,49.7994047619048,65.2939682539683,68.3337103174603,183.427083333333,387.402579365079,445.747361111111,212.793472222222,1045.94341269841,0.51297619047619,0.890277777777778,0.921944444444444,2.32519841269841,80.8330357142857,40
LA,LA,NUCLEAR AMY,510140.3125,23.5632145833333,487.383854166667,545.496354166667,358.744270833333,1391.62447916667,3.63385416666667,3.65104166666667,2.9296875,10.2145833333333,33.6395833333333,32.7661458333333,28.01875,94.4244791666667,258.706770833333,241.2828125,105.071354166667,605.0609375,0.796875,1.33177083333333,0.760416666666667,2.8890625,204.6671875,32
LAT,LAT,THALAMIC,815579.040816327,28.7732518075802,697.873056365403,700.947351797862,427.989455782313,1826.80986394558,10.1377551020408,6.477648202138,2.03168124392614,18.647084548105,66.5510932944606,72.6281584062197,55.4827502429543,194.662001943635,400.826992225462,450.629373177843,160.793561710398,1012.2499271137,1.82031098153547,2.7107628765792,0.861418853255588,5.39249271137026,219.943148688047,49
LGN,LGN,THALAMIC,820328.709677419,19.4047139784946,811.287096774194,721.527956989247,361.475268817204,1894.29032258065,9.23010752688172,4.16236559139785,0.691397849462365,14.0838709677419,71.5032258064516,76.2225806451613,58.1064516129032,205.832258064516,416.093548387097,488.247311827957,109.878494623656,1014.21935483871,1.57311827956989,2.27096774193548,0.693548387096774,4.53763440860215,177.051612903226,31
