Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
AGE 10 - TAG A,A,Chamber4,8056,SAA,POST4,8,12.633,2.81,21.78,25.95,0,2498
AGE 10 - TAG A,B,Chamber1,9228,SAA,PRE,0,0,0,0,293.12,0,1654
AGE 10 - TAG A,B,Chamber1,9228,SAA,SHK1,0,0,0,0,2279.83,15,4218
AGE 10 - TAG A,B,Chamber1,9228,SAA,POST1,4,5.533,1.23,7.09,197.83,0,3081
AGE 10 - TAG A,B,Chamber1,9228,SAA,SHK2,0,0,0,0,1606.58,151,5004
AGE 10 - TAG A,B,Chamber1,9228,SAA,POST2,5,6.733,1.5,8.63,96.66,0,6170
AGE 10 - TAG A,B,Chamber1,9228,SAA,SHK3,0,0,0,0,1242.28,15,3174
AGE 10 - TAG A,B,Chamber1,9228,SAA,POST3,11,40.033,8.9,51.32,57.46,0,1122
AGE 10 - TAG A,B,Chamber1,9228,SAA,SHK4,0,0,0,0,1200.88,70,3604
AGE 10 - TAG A,B,Chamber1,9228,SAA,POST4,3,26.8,5.96,46.21,63.89,0,1270
AGE 10 - TAG A,B,Chamber2,9229,SAA,PRE,0,0,0,0,369.91,0,1982
AGE 10 - TAG A,B,Chamber2,9229,SAA,SHK1,0,0,0,0,1900.47,55,5382
AGE 10 - TAG A,B,Chamber2,9229,SAA,POST1,2,3.233,0.72,4.15,132.72,0,2971
AGE 10 - TAG A,B,Chamber2,9229,SAA,SHK2,0,0,0,0,1441.28,230,4704
AGE 10 - TAG A,B,Chamber2,9229,SAA,POST2,3,6.667,1.48,8.55,149.54,0,2065
AGE 10 - TAG A,B,Chamber2,9229,SAA,SHK3,0,0,0,0,1619.55,44,4066
AGE 10 - TAG A,B,Chamber2,9229,SAA,POST3,11,30.5,6.78,39.1,72.38,0,5281
AGE 10 - TAG A,B,Chamber2,9229,SAA,SHK4,0,0,0,0,1637.12,26,4553
AGE 10 - TAG A,B,Chamber2,9229,SAA,POST4,9,31.7,7.04,54.66,46.65,0,1121
AGE 10 - TAG A,B,Chamber3,8060,SAA,PRE,5,7.833,1.74,5.22,161.71,0,991
AGE 10 - TAG A,B,Chamber3,8060,SAA,SHK1,0,0,0,0,1205.17,0,3441
AGE 10 - TAG A,B,Chamber3,8060,SAA,POST1,6,13.833,3.07,17.74,98.99,0,1262
AGE 10 - TAG A,B,Chamber3,8060,SAA,SHK2,0,0,0,0,797.2,0,3431
AGE 10 - TAG A,B,Chamber3,8060,SAA,POST2,12,43.433,9.65,55.68,31.29,0,2113
AGE 10 - TAG A,B,Chamber3,8060,SAA,SHK3,0,0,0,0,792.67,0,1980
