SubROI,MajorROI,System,ROIAreapx,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,OLTotal,fseq,CountPerROI
HY,HY,HYPOTHAL,1618863.56363636,NaN,845.267662337662,1041.05341991342,898.554155844156,2784.87523809524,62.5070562770563,2449.01038961039,61.1479220779221,2572.66536796537,882.694502164502,1142.82528138528,481.194242424243,2506.71402597403,802.999264069264,842.22316017316,466.854978354978,2112.0774025974,54.5884415584416,420.060346320346,22.4652380952381,497.114025974026,691.245974025974,55
IA,IA,CORTICO-AMY,127731.708333333,22.9901536111111,64.1385416666667,77.6020833333333,61.5895833333333,203.330208333333,9.74826388888889,238.563888888889,7.9375,256.249652777778,72.1913194444445,100.026736111111,25.5180555555556,197.736111111111,59.4604166666667,60.1024305555556,40.6076388888889,160.170486111111,4.72048611111111,40.6006944444444,4.83854166666667,50.1597222222222,124.385416666667,48
ILM,ILM,THALAMIC,1811314.6,81.8291834848485,727.276103896104,829.539177489177,623.761731601732,2180.57701298701,96.4340692640693,4014.77034632035,220.288441558442,4331.49285714286,1029.83506493507,972.477229437229,228.696103896104,2231.0083982684,916.39051948052,1022.280995671,500.429004329004,2439.10051948052,56.4836363636364,674.854718614719,55.159696969697,786.498051948052,500.614155844156,55
InfL,InfL,PFC,1618210.07843137,55.7943654341737,709.969981325864,898.036951447246,685.779831932773,2293.78676470588,180.550653594771,2574.39122315593,54.4998599439776,2809.44173669468,1071.18464052288,1393.43835200747,453.76218487395,2918.38517740429,993.066690009337,883.163445378151,385.284150326797,2261.51428571429,56.5493464052288,319.600746965453,14.0752100840336,390.225303454715,120.115336134454,51
LA,LA,NUCLEAR AMY,775648.921568627,50.0685302287582,469.43954248366,514.287581699346,434.88954248366,1418.61666666667,33.7483660130719,1314.68888888889,39.5228758169935,1387.96013071895,408.556862745098,380.821241830065,143.045751633987,932.42385620915,277.219934640523,254.738888888889,124.305882352941,656.264705882353,11.4045751633987,82.7633986928105,7.97450980392157,102.142483660131,347.056862745098,51
LAT,LAT,THALAMIC,1537430.59183673,50.641383090379,624.183819241983,698.123858114674,527.955344995141,1850.2630223518,78.4114674441205,3256.68551992225,210.292614188533,3545.38960155491,868.964042759961,824.055587949466,254.478425655977,1947.4980563654,835.321331389699,802.595578231293,315.632653061225,1953.54956268222,37.2677842565598,443.227502429543,49.6891642371234,530.184450923226,320.067930029154,49
LGN,LGN,THALAMIC,1234464.8125,43.7894361805556,578.119097222222,612.041666666667,453.903819444444,1644.06458333333,49.7309027777778,2633.39027777778,171.286458333333,2854.40763888889,947.095833333333,886.090625,282.800694444444,2115.98715277778,1155.36180555556,977.310416666667,298.970138888889,2431.64236111111,54.559375,490.680555555556,60.9361111111111,606.176041666667,276.582291666667,48
LH,LH,HYPOTHAL,9278434.05454545,NaN,4688.53203463203,5574.88337662338,4201.44103896104,14464.8564502165,525.711688311688,18996.0243290043,562.409177489177,20084.1451948052,6366.60753246753,7811.8496969697,2266.60212121212,16445.0593506494,6262.87142857143,6216.58666666667,2842.63173160173,15322.0898268398,418.813203463203,3553.20991341991,234.033593073593,4206.05670995671,784.865974025974,55
LSC,LSC,STRIATUM,3816199.14545455,103.651340662338,1936.40766233766,2402.58437229437,1642.40041125541,5981.39244588744,127.438484848485,5230.93885281385,93.8929004329004,5452.27023809524,2158.99653679654,3030.41746753247,1782.93203463203,6972.34603896104,2224.27424242424,1868.64930735931,938.970303030303,5031.89385281385,124.119047619048,503.685757575758,36.5519047619048,664.35670995671,338.007077922078,55
MA,MA,CORTICO-AMY,2182397.32727273,68.4405575757576,1169.32393939394,1344.16848484848,1016.40393939394,3529.89636363636,136.503939393939,3763.87,178.195454545455,4078.56939393939,1520.13121212121,1866.71848484848,821.19303030303,4208.04272727273,1801.85666666667,1348.19606060606,543.31696969697,3693.3696969697,100.215151515152,705.91,72.8933333333333,879.018484848485,416.281818181818,55
MBm,MBm,MIDBRAIN,5747174.10869565,43.7193097101449,2907.72644927536,3253.65615942029,2301.93188405797,8463.31449275362,588.269927536232,14418.0768115942,761.916666666667,15768.2634057971,5020.30942028985,4798.56231884058,1176.96956521739,10995.8413043478,5688.4018115942,5330.30724637681,1448.7347826087,12467.4438405797,139.233695652174,2671.85543478261,193.738043478261,3004.82717391304,282.327173913043,46
MBs,MBs,MIDBRAIN,746751.972972973,26.7707247297297,367.395495495496,471.364414414414,410.812612612613,1249.57252252252,45.3018018018018,1645.82432432432,91.4175675675676,1782.54369369369,483.516216216216,599.912612612613,300.953603603604,1384.38243243243,581.711711711712,534.668918918919,160.19009009009,1276.57072072072,10.440990990991,213.263963963964,18.3842342342342,242.089189189189,165.983783783784,37
MED,MED,THALAMIC,2123323.63636364,95.4883439090909,900.698787878788,1031.23575757576,774.289696969697,2706.22424242424,129.580606060606,4417.51939393939,248.580909090909,4795.68090909091,1235.51454545455,1176.08636363636,305.926666666667,2717.52757575758,1118.27303030303,1203.31151515152,599.577878787879,2921.16242424243,60.5809090909091,693.629090909091,59.4133333333333,813.623333333333,605.484545454545,55
MGN,MGN,THALAMIC,289244.586206897,21.7062612068966,157.959770114943,179.864942528736,112.505747126437,450.330459770115,48.9310344827586,738.005747126437,71.6264367816092,858.563218390805,283.738505747126,233.215517241379,43.5545977011494,560.508620689655,314.385057471264,266.442528735632,54.2126436781609,635.040229885057,6.44540229885057,143.272988505747,17.4080459770115,167.126436781609,127.379310344828,29
MH,MH,HYPOTHAL,3393511.34545455,NaN,1909.42532467532,2399.10683982684,2088.55471861472,6397.08688311688,149.0229004329,5862.94480519481,122.903593073593,6134.8712987013,2032.03454545455,2597.69640692641,985.818744588744,5615.5496969697,1827.49060606061,1983.69774891775,1112.98043290043,4924.16878787879,132.54354978355,965.997619047619,49.2159307359307,1147.7570995671,707.242337662338,55
MOB,MOB,OLFACTORY,228793,10.28245,67.9285714285714,93.5714285714286,76.2857142857143,237.785714285714,0,475.642857142857,28.1785714285714,503.821428571429,89.6785714285714,206.357142857143,72.75,368.785714285714,146,96.6071428571429,21.5357142857143,264.142857142857,2.60714285714286,47.6071428571429,4.46428571428571,54.6785714285714,35.8214285714286,14
MTN,MTN,THALAMIC,1808729.07272727,86.9476495647186,893.783463203463,1036.41467532468,807.074502164502,2737.27264069264,110.462380952381,3033.92848484848,100.610086580087,3245.00095238095,1003.00229437229,1198.26316017316,425.794199134199,2627.05965367965,1014.57956709957,1106.00532467532,640.079307359307,2760.6641991342,61.4112121212121,558.09329004329,33.8978354978355,653.402337662338,513.59051948052,55
MoP,Mo,MOTOR CTX,12360869.1090909,173.750925167965,4568.60891774892,5602.02006493507,4721.73601731602,14892.365,825.442164502164,22466.5232034632,1535.4419047619,24827.4072727273,6097.79285714286,7333.15707792208,1716.19735930736,15147.1472943723,5402.05753246753,5579.50095238095,3781.16175324675,14762.7202380952,325.332943722944,2522.33140692641,430.584545454545,3278.2488961039,728.948636363636,55
MoS,Mo,MOTOR CTX,8553051.30909091,165.484645045887,3261.36995670996,4018.13872294372,3501.88253246753,10781.3912121212,555.171774891775,17107.6212337662,816.930800865801,18479.7238095238,4422.10963203463,4835.36467532468,873.229069264069,10130.7033766234,3332.84043290043,3748.80625541126,2861.26445887446,9942.91114718615,219.559199134199,1916.72432900433,214.641861471862,2350.92538961039,719.285,55
NLOT,NLOT,OLFACTORY,338831.744680851,19.8201527963526,153.783789260385,192.548378926038,147.985663627153,494.317831813576,9.62472137791287,602.338145896656,11.305116514691,623.26798378926,186.382472137791,260.072340425532,37.1201621073961,483.574974670719,170.300911854103,179.543718338399,101.407142857143,451.251773049645,10.0976697061803,100.234447821682,6.84012158054711,117.172239108409,118.43358662614,47
OC,OC,PFC,3380468.87234043,45.0909833130699,1319.33505572442,1631.73348530902,1217.00455927052,4168.07310030395,301.491134751773,7158.77872340426,201.669402228977,7661.939260385,2073.66737588652,3251.76276595745,704.420415400203,6029.85055724417,2121.38551165147,2000.66170212766,860.400253292807,4982.44746707193,136.058510638298,880.483941236069,59.3921985815603,1075.93465045593,88.6316109422492,47
ON,ON,OLFACTORY,2907685.17021277,NaN,1093.91940222898,1403.03617021277,1012.81220871327,3509.76778115502,270.88829787234,5910.04984802432,121.027507598784,6301.96565349544,1552.85704154002,2624.62289766971,703.527558257346,4881.00749746707,1396.58383991895,1394.20339412361,708.793718338399,3499.58095238095,99.3382978723404,549.298176291793,26.6551671732523,675.291641337386,88.6316109422492,47
OTub,OTub,OLFACTORY,3458634.83333333,NaN,1416.04254850088,1659.23187830688,1410.32156084656,4485.59598765432,158.347222222222,6945.5201058201,166.175992063492,7270.04332010582,1645.70989858907,1777.24373897707,494.033311287478,3916.98694885362,1458.88287037037,1337.15888447972,737.281084656085,3533.32283950617,87.6119488536155,689.873919753086,53.2846781305115,830.770546737213,235.027447089947,54
