SubROI,MajorROI,System,ROIAreapx,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,OLTotal,fseq,CountPerROI
DG,DG,SUBIC-HPC,2656871.37755102,162.63621468318,4936.10452937086,5623.60341846362,4012.10300260964,14571.8109504441,107.097361425423,76.7854392206433,47.4186334640416,231.301434110108,5961.37912682556,7822.61288496084,4586.30058229752,18370.2925940839,366.204560632112,517.387600041682,202.701026467863,1086.29318714166,3.28799964208127,4.92841619831416,2.27600868519236,10.4924245255878,1039.77920514859,49
DP,DP,OLFACTORY,259205.024390244,21.1943178629501,213.211962833914,244.065931087882,152.711943476578,609.989837398374,0.185191637630662,0.159581881533101,0,0.344773519163763,262.277177700348,402.439353464963,126.567557104142,791.284088269454,32.9285327138986,46.8480255516841,19.177564847077,98.9541231126597,0,0.0524390243902439,0.0146341463414634,0.0670731707317073,59.8212543554007,41
ECT,ECT,TEMP ASSOC CTX,1275486.66666667,71.2806552990875,1010.38568589975,1243.09704294548,862.49908528971,3115.98181413494,8.14133164289414,8.29289235070485,6.15314598595848,22.5873699795575,1807.80045920515,1617.20924301393,341.69087769869,3766.70057991777,166.323278110778,270.783519374144,177.986743638306,615.093541123229,1.20943986568987,1.60577876984127,1.17296626984127,3.98818490537241,518.241469294594,48
ENT,ENT,TEMP ASSOC CTX,3739715.04166667,53.4044417289481,2345.96390247484,2972.76307696933,2079.50650506901,7398.23348451317,9.84994767963518,10.5497636622637,8.2695459054834,28.6692572473822,4346.78044322576,4334.73719081844,1067.27107562576,9748.78870966996,329.752524154087,574.487220823158,384.297747969623,1288.53749294687,1.18443032661783,1.88100071225071,1.30697624135124,4.37240728021978,445.713344294594,48
EP,EP,OLFACTORY,2115626.56862745,128.716971149238,1760.66486150016,2048.26185029567,1273.31100995954,5082.23772175537,56.1226968565204,58.1393946467476,49.4008403361345,163.662931839402,2496.50767973856,2976.18158263305,662.737628384687,6135.4268907563,278.782500778089,418.18025210084,184.211780267663,881.174533146592,5.43687363834423,8.88144257703081,4.26575630252101,18.584072517896,679.876447245565,51
EPI,EPI,THALAMIC,626335.976190476,43.7848025793651,539.583333333333,488.963888888889,429.742063492063,1458.28928571429,2.98095238095238,1.46785714285714,0.724206349206349,5.17301587301587,430.88253968254,610.063095238095,358.819444444444,1399.76507936508,43.9996031746032,59.9166666666667,18.422619047619,122.338888888889,0.119047619047619,0.0880952380952381,0.109126984126984,0.316269841269841,322.992857142857,42
Gus,Gus,VISC CTX,1002712.86,39.5717661396825,676.386047619048,827.745380952381,564.866865079365,2068.99829365079,37.4414761904762,41.8661587301587,59.8108412698413,139.118476190476,983.6595,1184.65877777778,232.428968253968,2400.74724603175,155.105968253968,217.664626984127,93.5639761904762,466.334571428571,5.20911904761905,10.2071825396825,5.26447619047619,20.6807777777778,186.794047619048,50
HY,HY,HYPOTHAL,1394507.28,NaN,1036.93987301587,1284.24311111111,1007.82987301587,3329.01285714286,1.23572222222222,0.779388888888889,0.146666666666667,2.16177777777778,1264.86522222222,1598.81765079365,626.647666666667,3490.33053968254,142.012412698413,203.835174603175,62.4580873015873,408.305674603175,0.130666666666667,0.085,0.0856666666666667,0.301333333333333,598.120547619048,50
IA,IA,CORTICO-AMY,116053.45,20.215058625,104.3175,119.492916666667,75.3458333333333,299.15625,0.79,0.765,0.375833333333333,1.93083333333333,127.1825,182.717083333333,34.7154166666667,344.615,18.4045833333333,30.67875,12.0833333333333,61.1666666666667,0.2,0.18,0.025,0.405,122.98625,40
ILM,ILM,THALAMIC,1334771.72916667,62.5628568923611,1029.24988425926,1014.93466435185,574.863946759259,2619.04849537037,5.90555555555556,2.85590277777778,0.542361111111111,9.30381944444444,1466.01290509259,1480.76707175926,360.997453703704,3307.77743055555,180.919733796296,229.040798611111,47.8083333333333,457.768865740741,0.426736111111111,0.555902777777778,0.114583333333333,1.09722222222222,442.013020833333,48
InfL,InfL,PFC,1198450.95555556,34.9354675079365,1038.67596119929,1176.29793650794,766.143403880071,2981.1173015873,2.46225749559083,1.6836860670194,1.29442680776014,5.44037037037037,1225.43183421517,1903.93315696649,577.389770723104,3706.75476190476,186.894391534392,261.618183421517,124.95811287478,573.470687830688,0.403862433862434,0.816613756613757,0.76652557319224,1.98700176366843,94.8626984126984,45
LA,LA,NUCLEAR AMY,652919.769230769,38.0962635897436,631.727777777778,707.561965811966,463.068803418803,1802.35854700855,4.39102564102564,4.16324786324786,2.52863247863248,11.082905982906,796.383760683761,654.427777777778,177.964102564103,1628.77564102564,57.9559829059829,71.6602564102564,33.4299145299145,163.046153846154,0.445299145299145,0.728205128205128,0.243589743589744,1.41709401709402,274.685897435897,39
LAT,LAT,THALAMIC,1063867.875,44.6822098958333,905.387847222222,910.554513888889,550.196412037037,2366.13877314815,13.0921296296296,8.03686342592593,2.51383101851852,23.6428240740741,1306.83489583333,1269.30607638889,409.887731481482,2986.0287037037,114.009143518519,141.432349537037,33.0262152777778,288.467708333333,0.734953703703704,0.85162037037037,0.216550925925926,1.803125,276.596354166667,48
LGN,LGN,THALAMIC,980801.526315789,32.8367999122807,963.819736842105,888.763596491228,480.589473684211,2333.17280701754,12.769298245614,5.79868421052632,1.0530701754386,19.6210526315789,1372.08684210526,1382.90789473684,450.714912280702,3205.70964912281,81.0381578947369,104.890350877193,14.2425438596491,200.171052631579,0.571052631578947,0.456140350877193,0.131578947368421,1.15877192982456,221.473684210526,38
