MouseID,GROUP,CODE,ID,AGE,DOB,SUBEXPT,EXPT,DELTAT,Ch1TotalCoronalCount,Ch2TotalCoronalCount,Ch3TotalCoronalCount,Ch4TotalCoronalCount,ROIAreapx,SubROI_SubroiAGGR,MajorROI,System,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,OLTotal,fseq,PopMeans_subroiIndex,SubROI_SubroiAreaPX_PopMean,ROIAreapx_PopMean,Sample_roiAreaMM2,Pop_roiAreaMM2,areaNormFactor,nonzeropixelsperMM2,Ch1m05sdperMM2,Ch1m05sdm05sdperMM2,Ch1m05sd1perMM2,Ch1TotalperMM2,Ch2m05sdperMM2,Ch2m05sdm05sdperMM2,Ch2m05sd1perMM2,Ch2TotalperMM2,Ch3m05sdperMM2,Ch3m05sdm05sdperMM2,Ch3m05sd1perMM2,Ch3TotalperMM2,Ch4m05sdperMM2,Ch4m05sdm05sdperMM2,Ch4m05sd1perMM2,Ch4TotalperMM2,OLm05sdperMM2,OLm05sdm05sdperMM2,OLm05sd1perMM2,OLTotalperMM2,Ch1m05sdm05sd_COUNTnormd,Ch1m05sd1_COUNTnormd,Ch1Total_COUNTnormd,Ch2m05sd_COUNTnormd,Ch2m05sdm05sd_COUNTnormd,Ch2m05sd1_COUNTnormd,Ch2Total_COUNTnormd,Ch3m05sd_COUNTnormd,Ch3m05sdm05sd_COUNTnormd,Ch3m05sd1_COUNTnormd,Ch3Total_COUNTnormd,Ch4m05sd_COUNTnormd,Ch4m05sdm05sd_COUNTnormd,Ch4m05sd1_COUNTnormd,Ch4Total_COUNTnormd,OLm05sd_COUNTnormd,OLm05sdm05sd_COUNTnormd,OLm05sd1_COUNTnormd,OLTotal_COUNTnormd,fseq_COUNTnormd
3425,SAA,1,3425,103,,11,11,88,388647.116666667,961161.666666667,578251.533333333,417601.233333333,41356845,SSp,SCtx,SOMAT CTX,192.088591666667,12450,12552.0666666667,8591.25,33593.3166666667,105.6,81414.7333333333,6600.4,88120.7333333333,23975.3666666667,26244.3666666667,10182.1166666667,60401.85,18440.1,17165.8833333333,11507.3,47113.2833333333,1295.58333333333,8989.85,1705.91666666667,11991.35,1615.7,62,SSp,34540473.5454545,63.590284872,53.1094321234909,1.19734447026545,3.0207223014226,195.784623784285,197.389690766955,135.103184665601,528.277499216841,1.66063102583297,1280.30144065578,103.795729383598,1385.75780106522,377.028766499888,412.710317613667,160.120633004902,949.859717118457,289.982975184304,269.945061071613,180.960032230755,740.888068486672,20.3739193170969,141.371437761217,26.8266869711385,188.572044049452,160.428846031319,10398.0101876947,10483.2543836645,7175.2534156652,28056.5179870243,88.1951707486391,67996.082460116,5512.53224440641,73596.8098752711,20023.7836830293,21918.8105999674,8503.91589014423,50446.510173141,15400.8311375187,14336.6288980545,9610.684548824,39348.1445843972,1082.04728506084,7508.15677797967,1424.75011079182
3426,SAA,2,3426,103,,11,11,88,441883.7,1165809.26666667,600731.95,436586.866666667,44656611,SSp,SCtx,SOMAT CTX,231.245215,14434.25,14934.3,10494.7333333333,39863.2833333333,0,118050.183333333,5351.21666666667,123401.4,27264.5833333333,25819.05,7012.21666666667,60095.85,22303.7166666667,22201.9833333333,14434.4166666667,58940.1166666667,114.5,13279.9666666667,1452.71666666667,14847.1833333333,1249.8,62,SSp,34540473.5454545,68.6640050736,53.1094321234909,1.29287778701797,3.3677793008452,210.215672454995,217.498236288316,152.841846642709,580.55575538602,0,1719.24406691391,77.9333605858087,1797.17742749972,397.072429784846,376.02015746569,102.1236186143,875.216205864835,324.823998290802,323.342387463932,210.218099733545,858.384485488278,1.66754036379423,193.405069401822,21.1568880246575,216.229497790274,178.860846185136,11164.4349875425,11551.2078171333,8117.34367989994,30832.9864845758,0,91308.0760754787,4138.99652418755,95447.0725996663,21088.2912577679,19970.2170299884,5423.72739100142,46482.2356787577,17251.2180893063,17172.5305796632,11164.5638989279,45588.3125678974,88.5621217641111,10271.6334057351,1123.63030848984
3429,SAA,3,3429,103,,11,11,103,906680.283333333,696385.266666667,673789.383333333,495990.833333333,44686977,SSp,SCtx,SOMAT CTX,308.025223333333,25407.35,38240.4,34837.5166666667,98485.2666666667,0,117737.616666667,2744.18333333333,120481.8,29141.05,26860.4166666667,5770.28333333333,61771.75,21399.0833333333,20398.7666666667,15074.5,56872.35,496,10446.4833333333,1051.48333333333,11993.9666666667,1373.1,62,SSp,34540473.5454545,68.7106958352,53.1094321234909,1.29375692956823,4.48292976208712,369.772852554696,556.542173458964,507.017375434869,1433.33240144853,0,1713.52676953026,39.9382265013755,1753.46499603164,424.112281876663,390.920457727431,83.9794047083025,899.012144312397,311.43744177265,296.879058183203,219.390879640567,827.707379596419,7.21867234745573,152.035766867924,15.3030517381934,174.557490953574,238.085853913943,19638.4262138633,29557.638785179,26927.4048860887,76123.4698851309,0,91004.4336581521,2121.09652950741,93125.5301876595,22524.3624470675,20761.563515359,4460.09849412676,47746.0244565532,16540.2656745382,15767.0781894667,11651.7250307837,43959.0688947886,383.379589058921,8074.53324081492,812.73638757185
3431,SAB,3,3431,103,,11,11,107,519031.833333333,1194240.75,645594.833333333,508794.083333333,52593044,SSp,SCtx,SOMAT CTX,273.347725,19068.6666666667,18372.5833333333,12294.4166666667,49735.6666666667,190.333333333333,130517.833333333,5753.58333333333,136461.75,24583.6666666667,34294.0833333333,7172.41666666667,66050.1666666667,26404.8333333333,26661.25,16128.5833333333,69194.6666666667,1245.33333333333,13411.5833333333,1996.25,16653.1666666667,1503.5,62,SSp,34540473.5454545,80.8670644544,53.1094321234909,1.52264976711418,3.38021080453758,235.802632324057,227.194884064246,152.032434336718,615.02995072502,2.35365701249932,1613.98010690657,71.1486607329207,1687.48242465199,304.000977808822,424.079735856757,88.6939165537672,816.774630219347,326.521477086914,329.692318867763,199.445638866093,855.65943482077,15.399759367246,165.847288062447,24.685575190202,205.932622619895,179.521076286679,12523.343895955,12066.1912740145,8074.35625197499,32663.8914219444,125.001387347311,85717.5669364193,3778.66496787233,89621.2332916389,16145.3192964125,22522.6339464324,4710.48354097887,43378.4367838238,17341.3702242094,17509.7718305438,10592.444619685,45443.5866744383,817.872474832845,8808.05528821757,1311.03687999336
3433,SAB,4,3433,103,,11,11,86,618350.4,994682.833333333,724493.083333333,541978.166666667,48734398,SSp,SCtx,SOMAT CTX,292.883026666667,19974.2333333333,23578.05,20318.7666666667,63871.05,4804,152537.533333333,4077.33333333333,161418.866666667,33081.7333333333,35924.7,7176.3,76182.7333333333,25448.0666666667,23982.7666666667,17017.9166666667,66448.75,316.116666666667,14536.8666666667,1102.55,15955.5333333333,1089.8,62,SSp,34540473.5454545,74.9340103648,53.1094321234909,1.41093601209221,3.90854600255384,266.557645001156,314.650849263444,271.155468227967,852.363962492567,64.1097410456583,2035.62484632462,54.4123197662012,2154.14690713648,441.478217598152,479.417821428593,95.7682628363775,1016.66430186312,339.606362221617,320.051823596679,227.105376901872,886.763562720168,4.21860067448307,193.995578188023,14.7136126123835,212.927791474889,207.580658624175,14156.7251541865,16710.9279215556,14400.9129347666,45268.5660105087,3404.83194051897,108110.879604769,2889.80740330475,114405.518948593,23446.6574315288,25461.6082459537,5086.19805469323,53994.4637321757,18036.3010431146,16997.7706013073,12061.4375994498,47095.5092438717,224.047486177572,10302.9949920342,781.431610328723
3507,SAA,4,3507,101,,11,11,98,811541.5,885623.75,545229.95,431393.55,44168480,SSp,SCtx,SOMAT CTX,280.31598,24567.9,35918.7,32403.6,92890.2,1350,105725.75,6644.4,113720.15,26737.5,20977.65,7140.1,54855.25,25397.55,22171,15681.7,63250.25,320.25,14244.5,2174.3,16739.05,1141.6,62,SSp,34540473.5454545,67.913454848,53.1094321234909,1.27874564145379,4.12754704686114,361.753058432773,528.889305961406,477.130784651199,1367.77314904538,19.8782406670592,1556.7717801521,97.8362831764503,1674.48630399561,393.699599878144,308.887981725432,105.13527865694,807.722860260517,373.969341669384,326.459610243977,230.907116050831,931.336067964192,4.71556042490792,209.744888282907,32.0157471721383,246.476195879953,219.211679721787,19212.4995023006,28089.0106957975,25340.1450214608,72641.6552195589,1055.7220734416,82679.2651897539,5196.02944057432,88931.0167037698,20909.1621767738,16404.865299209,5583.67494561506,42897.7024215978,19861.2993676567,17338.0845113138,12263.3458067326,49462.7296857032,250.440736310867,11139.4319075102,1700.33815132153
3508,SAA,5,3508,101,,11,11,104,875522.5,687384.083333333,629470.583333333,450601.833333333,55298812,SSp,SCtx,SOMAT CTX,291.488291666667,27399.5833333333,40045.6666666667,35467.25,102912.5,2975,95989.1666666667,11676.9166666667,110641.083333333,30040.9166666667,22395.0833333333,6163,58599,21062.5833333333,21286.5,15682.75,58031.8333333333,1564.5,11761.5833333333,3633.33333333333,16959.4166666667,1430,62,SSp,34540473.5454545,85.0274533312,53.1094321234909,1.60098592531535,3.42816678903998,322.243960742963,470.973375042532,417.127040861115,1210.34437664661,34.9886993370452,1128.91969482807,137.331134935708,1301.23952910083,353.308437330834,263.386499959016,72.4824719375495,689.177409227399,247.715090928222,250.348554096811,184.443369589259,682.507014614292,18.3999395337167,138.326891757177,42.7312966693325,199.458127960226,182.067991390525,17114.1937602833,25013.1284937928,22153.380263486,64280.7025175621,1858.22995253003,59956.2839053437,7293.57858930997,69108.0924471837,18764.0104710786,13988.3074418172,3849.50292351012,36601.8208364059,13156.0078076168,13295.8695410187,9795.6826178287,36247.5599664641,977.210339742265,7346.46266863127,2269.43490000867
3531,SAB,3,3531,101,,11,11,95,610283.066666667,958305.383333333,708250.316666667,549500.3,45183357,SSp,SCtx,SOMAT CTX,229.216451666667,18009.5166666667,19860.8833333333,16312.4166666667,54182.8166666667,4744.5,113120.7,10572.4833333333,128437.683333333,25466.3833333333,33510.8166666667,5445.88333333333,64423.0833333333,24294.6833333333,23350.8666666667,15640.55,63286.1,1325.5,10907.8666666667,2087.11666666667,14320.4833333333,1110.9,62,SSp,34540473.5454545,69.4739297232,53.1094321234909,1.3081278964094,3.29931605394883,259.226975333347,285.875340756794,234.799107113403,779.901423203544,68.2918041185114,1628.24674594771,152.179146558378,1848.7176966246,366.560282897444,482.350959563989,78.3874376335264,927.29868009496,349.694963709825,336.10977181947,225.12833320809,910.933068737385,19.0790992431419,157.006616872345,30.041724643794,206.127440759281,175.224802021139,13767.3974510443,15182.6770057028,12470.0472418955,41420.1216986426,3626.93893542282,86475.2600342046,8082.14805475297,98184.3470243804,19467.8084637094,25617.3855466644,4163.11229833215,49248.306308706,18572.1009390736,17850.5991124882,11956.4379315897,48379.1379831514,1013.28012623099,8338.53226172074,1595.49893584218
3539,CAA,1,3539,100,,11,11,92,565183.666666667,480176.25,539025.166666667,423671.75,36728830,SSp,SCtx,SOMAT CTX,201.588233333333,17206.8333333333,22306.4166666667,19505.8333333333,59019.0833333333,0,95494.25,1293.08333333333,96787.3333333333,24052,22049.5,5719.66666666667,51821.1666666667,20606.1666666667,18319.5833333333,13610.4166666667,52536.1666666667,3,9829,573.166666666667,10405.1666666667,971.5,62,SSp,34540473.5454545,56.474249008,53.1094321234909,1.06335629567052,3.56956023097849,304.684588738769,394.98385650966,345.393408074717,1045.06185332315,0,1690.93439359366,22.8968663779869,1713.83125997165,425.893224301094,390.434585449317,101.279198345009,917.607008095421,364.877214458357,324.388259341673,241.00217188791,930.267645687941,0.0531215563322503,174.043925729896,10.1491684570338,184.246215743262,189.577316797865,16181.6254846954,20977.3683171744,18343.6477620454,55502.6415639152,0,89804.5654018389,1216.03957074233,91020.6049725812,22618.9472878737,20735.7591145838,5378.88071002584,48733.5871124833,19378.4216546845,17228.076241164,12799.4884894949,49405.9863853434,2.82125569032184,9243.3740600578,539.016573278712
3540,CAA,2,3540,100,,11,11,96,308667.75,616292.083333333,363316.166666667,342554.833333333,35249990,SSp,SCtx,SOMAT CTX,154.46585,11315.5,12277.4166666667,9298.33333333333,32891.25,0,96107.5833333333,3443.83333333333,99551.4166666667,12148.0833333333,15068.5,11008.5,38225.0833333333,19891.3333333333,17697.25,10644.5,48233.0833333333,980.166666666667,8791.58333333333,1075.16666666667,10846.9166666667,715.75,62,SSp,34540473.5454545,54.200384624,53.1094321234909,1.02054159603839,2.84990320772747,208.771581207368,226.518995240307,171.554748141326,606.845324589002,0,1773.19006128928,63.5389094971182,1836.7289707864,224.132788311509,278.014632267529,203.1074147604,705.254835339438,366.996165642069,326.515210598038,196.391595259761,889.902971499868,18.0841275106496,162.205183493115,19.8368826001021,200.126193603867,151.356740969321,11087.7401214466,12030.2952023964,9111.17525187435,32229.2105757174,0,94173.1172020919,3374.51540113783,97547.6326032298,11903.5651074788,14765.1992417496,10786.9194579952,37455.6838072236,19490.9579487489,17341.0374145438,10430.2460980724,47262.2414613651,960.437742539398,8614.62518280598,1053.52556999178
3541,CAA,3,3541,100,,11,11,101,197856.716666667,783799.816666667,549974.4,506000.933333333,48374022,SSp,SCtx,SOMAT CTX,213.935421666667,4345.38333333333,4055.83333333333,2137.65,10538.8666666667,0,111934.983333333,7786,119720.983333333,14337.1,18427.4833333333,9518.23333333333,42282.8166666667,20412.55,21146.5166666667,13898.4666666667,55457.5333333333,378,13089,2316.95,15783.95,1306.65,62,SSp,34540473.5454545,74.3798962272,53.1094321234909,1.40050257088516,2.87625329582582,58.4214761480706,54.5286231772149,28.7396206290791,141.689719954365,0,1504.90910865777,104.678823108558,1609.58793176633,192.755041714579,247.748172127653,127.967822168762,568.471036010995,274.436387187851,284.30419695764,186.857838900616,745.598423046106,5.0820183836418,175.974969903406,31.1502182380394,212.207206525087,152.756179184629,3102.7314220401,2895.98421141771,1526.34493105496,7525.06056451276,0,79924.8681582833,5559.43285065089,85484.3010089342,10237.1108044011,13157.7647313325,6796.29836546284,30191.1739011965,14575.1606775692,15099.2344507454,9923.91371183446,39598.308840149,269.903110396357,9345.93071951831,1654.37040114508
