MouseID,GROUP,CODE,ID,AGE,DOB,SUBEXPT,EXPT,DELTAT,Ch2TotalCoronalCount,Ch3TotalCoronalCount,Ch4TotalCoronalCount,ROIAreapx,SubROI_SubroiAGGR,MajorROI,System,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,PopMeans_subroiIndex,SubROI_SubroiAreaPX_PopMean,ROIAreapx_PopMean,Sample_roiAreaMM2,Pop_roiAreaMM2,areaNormFactor,Ch1m05sdperMM2,Ch1m05sdm05sdperMM2,Ch1m05sd1perMM2,Ch1TotalperMM2,Ch2m05sdperMM2,Ch2m05sdm05sdperMM2,Ch2m05sd1perMM2,Ch2TotalperMM2,Ch3m05sdperMM2,Ch3m05sdm05sdperMM2,Ch3m05sd1perMM2,Ch3TotalperMM2,Ch4m05sdperMM2,Ch4m05sdm05sdperMM2,Ch4m05sd1perMM2,Ch4TotalperMM2,OLm05sdperMM2,OLm05sdm05sdperMM2,SubROI_SubroiAGGR_COUNTnormd,MajorROI_COUNTnormd,System_COUNTnormd,nonzeropixels_COUNTnormd,Ch1m05sd_COUNTnormd,Ch1m05sdm05sd_COUNTnormd,Ch1m05sd1_COUNTnormd,Ch1Total_COUNTnormd,Ch2m05sd_COUNTnormd,Ch2m05sdm05sd_COUNTnormd,Ch2m05sd1_COUNTnormd,Ch2Total_COUNTnormd,Ch3m05sd_COUNTnormd,Ch3m05sdm05sd_COUNTnormd,Ch3m05sd1_COUNTnormd,Ch3Total_COUNTnormd,Ch4m05sd_COUNTnormd,Ch4m05sdm05sd_COUNTnormd,Ch4m05sd1_COUNTnormd,Ch4Total_COUNTnormd
3539,CAA,1,3539,100,,11,11,92,378795.5,386265.666666667,314687.666666667,5231275,AI,AI,TEMP ASSOC CTX,169.499016666667,1877,2404.33333333333,1545.5,5826.83333333333,0,9834.16666666667,203.166666666667,10037.3333333333,4821,5629.66666666667,817.666666666667,11268.3333333333,2313.33333333333,3403.5,2382.16666666667,8099,16.6666666666667,1874.83333333333,97.8333333333333,1,AI,4257682.69090909,8.04360844,6.54661290554182,1.22866718348216,233.352980071218,298.912279391528,192.140133564234,724.40539302698,0,1222.60633893644,25.2581497697402,1247.86448870618,599.357867300661,699.893177130669,101.654210640152,1400.90525507148,287.598948977846,423.130989702925,296.156468136913,1006.88640681768,2.07203853730437,233.083615061368,52.6583908204291,42.8581405350067,8.04360844,1527.67163088088,1956.8629858895,1257.86707806414,4742.40169483452,0,8003.93043687855,165.35532925269,8169.28576613124,3923.76394910853,4581.9297059043,665.490767279487,9171.18442229232,1882.79899099863,2770.07479792385,1938.8217563648,6591.69554528728,13.5648342290968
3540,CAA,2,3540,100,,11,11,96,426170.583333333,295503.833333333,294800,4188107,AI,AI,TEMP ASSOC CTX,118.924108333333,1247.16666666667,1352.25,1200.83333333333,3800.25,0,5031.75,106.416666666667,5138.16666666667,1363.83333333333,4707,484.416666666667,6555.25,2987.91666666667,3230.33333333333,1756.91666666667,7975.16666666667,144,773.333333333333,59.6666666666667,1,AI,4257682.69090909,6.4396333232,6.54661290554182,0.983658789073773,193.670447379902,209.988664281282,186.475420736629,590.134532397812,0,781.372129042218,16.5252680278053,797.897397070024,211.7874209421,730.942239062299,75.2242623693284,1017.95392237373,463.988633623304,501.633116546472,272.828681151307,1238.45043132108,22.3615216539135,120.089653326573,42.1577866206182,42.8581405350067,6.4396333232,1267.88545023932,1374.71449960133,1220.78239596075,3863.3823458014,0,5115.34086401847,108.184532938368,5223.52539695684,1386.49026317097,4785.19589545088,492.464126836909,6664.15028545876,3037.55397690304,3283.9978346303,1786.1037650271,8107.65557656044,146.392226247063
3541,CAA,3,3541,100,,11,11,101,568743.666666667,411951,386153.916666667,6910909,AI,AI,TEMP ASSOC CTX,181.311375,845.416666666667,799.166666666667,411.25,2055.83333333333,0,13234.4166666667,382.75,13617.1666666667,2678.75,7651.25,1150.08333333333,11480.0833333333,3981.91666666667,5431.33333333333,2465.66666666667,11878.9166666667,100.583333333333,3163.66666666667,195.666666666667,1,AI,4257682.69090909,10.6262136784,6.54661290554182,1.62316205826142,79.5595394797258,75.2070954766456,38.7014615409016,193.468096497273,0,1245.44989092101,36.0194149660306,1281.46930588704,252.088851313532,720.035398455497,108.230774209926,1080.35502397896,374.725823061581,511.125928549099,232.036239933576,1117.88799154426,9.46558542651838,297.722854293574,69.5657076040584,42.8581405350067,10.6262136784,520.845507916936,492.351741835724,253.363487586997,1266.56073733966,0,8153.47832910916,235.805166866682,8389.28349597584,1650.32812735238,4713.7930319757,708.544983219481,7072.66614254757,2453.18490929472,3346.14360019657,1519.05144290254,7318.37995239384,61.9675237117538
3542,CAA,4,3542,100,,11,11,100,590265.083333333,342113.25,335278.083333333,5363435,AI,AI,TEMP ASSOC CTX,180.931016666667,1329,1213.5,788.166666666667,3330.66666666667,0,16618.3333333333,299.666666666667,16918,2516.33333333333,3909.66666666667,1204.33333333333,7630.33333333333,2631.08333333333,3254.25,2403.33333333333,8288.66666666667,206.25,2652,175.416666666667,1,AI,4257682.69090909,8.246817656,6.54661290554182,1.25970754266209,161.153072062056,147.147669636798,95.5722194358491,403.872961134703,0,2015.12074433253,36.3372490052139,2051.45799333774,305.127800601068,474.081861604176,146.036129761777,925.245791967021,319.042258854733,394.606760540214,291.425545414452,1005.0745648094,25.0096471879601,321.57859075137,53.9887228964197,42.8581405350067,8.246817656,1055.00678132916,963.318833064665,625.674325170004,2643.99993956383,0,13192.2154710723,237.88590328942,13430.1013743618,1997.55359725454,3103.63043346119,956.042011773832,6057.22604248956,2088.64616923161,2583.33771116661,1907.85023661482,6579.83411701304,163.728479043747
3595,SAA,1,3595,98,,11,11,93,697179.333333333,437216.916666667,363750.666666667,5067057,AI,AI,TEMP ASSOC CTX,205.146275,2042.25,2432.66666666667,2165.58333333333,6640.5,0,13110.5,245.916666666667,13356.4166666667,5136.41666666667,4706,679,10521.4166666667,2494.41666666667,2844.66666666667,1662.33333333333,7001.41666666667,54.3333333333333,2190.16666666667,101.916666666667,1,AI,4257682.69090909,7.7911068432,6.54661290554182,1.19009737640127,262.12578534749,312.236337612271,277.955799723557,852.317922683317,0,1682.75192008729,31.5637651511993,1714.31568523849,659.266618984911,604.022008003568,87.1506467136469,1350.43927370213,320.162040755964,365.117142392863,213.362923495806,898.642106644633,6.97376308999727,281.111106643111,51.0053606081483,42.8581405350067,7.7911068432,1716.03604923116,2044.0904373916,1819.66902564043,5579.7955122632,0,11016.3254368687,206.635752286333,11222.961189155,4315.96335603954,3954.29827282744,570.541548501876,8840.80317736885,2095.9769478776,2390.28059642367,1396.80446852178,5883.06201282304,45.6545274451673
3596,CAB,2,3596,98,,11,11,109,321928.366666667,137243.233333333,111753.933333333,2619302,AI,AI,TEMP ASSOC CTX,96.87521,610.066666666667,568.866666666667,318.366666666667,1497.3,0,5564.06666666667,250.766666666667,5814.83333333333,1190.73333333333,1195.56666666667,223.9,2610.2,690.133333333333,758.466666666667,481.333333333333,1929.93333333333,93.5,680.1,61.1666666666667,1,AI,4257682.69090909,4.0274387552,6.54661290554182,0.615194271191856,151.477577623988,141.247751050759,79.0494122984762,371.774740973223,0,1381.53973402641,62.264551222012,1443.80428524842,295.655230460284,296.855331474133,55.5936448967506,648.104206831167,171.357871660313,188.324817028534,119.513507862004,479.196196550851,23.2157471989557,168.866627486735,26.3660825310716,42.8581405350067,4.0274387552,991.665064573414,924.694349907654,517.5059027287,2433.86531720977,0,9044.40585229611,407.621914587793,9452.0277668839,1935.54034732223,1943.39694410745,363.950073147176,4242.88736457686,1121.81365407758,1232.8896775928,782.408672955966,3137.11200462635,151.98451022448
3597,SAB,3,3597,98,,11,11,93,692441.833333333,395296.333333333,477702.833333333,5824624,AI,AI,TEMP ASSOC CTX,221.812983333333,2694.33333333333,3241.33333333333,2482.5,8418.16666666667,0,17572.3333333333,293,17865.3333333333,5627.66666666667,8093,505,14225.6666666667,3918.33333333333,5131.5,4721.66666666667,13771.5,403.666666666667,4359.33333333333,248.333333333333,1,AI,4257682.69090909,8.9559418624,6.54661290554182,1.36802679364449,300.843102236408,361.919872095365,277.190276370859,939.953250702633,0,1962.08657931421,32.7157103632071,1994.80228967742,628.372398250314,903.645883854727,56.3871458478484,1588.40542795289,437.512144845847,572.971562214325,527.210508867837,1537.69421592801,45.0724974400953,486.753196962483,58.63108457767,42.8581405350067,8.9559418624,1969.50333564411,2369.34930543156,1814.65744058017,6153.51008165584,0,12845.0213219288,214.17709167774,13059.1984136065,4113.71085187177,5915.8198052831,369.144816714193,10398.6754738691,2864.2226537791,3751.02302370076,3451.44312129145,10066.6887987713,295.072193426329
3602,CAA,1,3602,98,,11,11,109,535156.333333333,364788.666666667,469609.833333333,6229840,AI,AI,TEMP ASSOC CTX,220.8076,3048,3373.83333333333,1877.83333333333,8299.66666666667,0,15034.5,432.333333333333,15466.8333333333,1547,4883.33333333333,1125,7555.33333333333,3501.33333333333,4308.5,3512.16666666667,11322,627.5,2649.5,300.666666666667,1,AI,4257682.69090909,9.579001984,6.54661290554182,1.46319969153686,318.195987963165,352.211361785781,196.036428061077,866.443777810023,0,1569.52676543051,45.1334422996747,1614.66020773019,161.499079192591,509.795628134336,117.44438532105,788.739092647977,365.5217254555,449.785897027329,366.652671388221,1181.96029387105,65.5078682568524,276.59457680722,62.710018010665,42.8581405350067,9.579001984,2083.10596129129,2305.79144654525,1283.37460990097,5672.2720177375,0,10275.0841781607,295.471175830577,10570.5553539913,1057.27195607533,3337.43463833304,768.862928626213,5163.56952303459,2392.92924512289,2944.57415820981,2400.33311036151,7737.83651369421,428.854655744843
3603,SAB,4,3603,98,,11,11,98,763987.5,458826,279756,5540963,AI,AI,TEMP ASSOC CTX,234.72155,2886,3080.5,2327.5,8294,0,20412.5,493,20905.5,6911.5,8720,1081,16712.5,2288,2943.5,2495,7726.5,239.5,3283.5,177.5,1,AI,4257682.69090909,8.5197847088,6.54661290554182,1.30140346339828,338.740953984328,361.570169351601,273.187654330743,973.498777666672,0,2395.89387498444,57.8653119592078,2453.75918694365,811.229419079238,1023.50004114461,126.881140421711,1961.61060064556,268.55138694253,345.48995081527,292.847775533922,906.889113291722,28.1110389740979,385.397062511275,55.7757325270679,42.8581405350067,8.5197847088,2217.60590098935,2367.05993693613,1788.45382347634,6373.11966140182,0,15684.9897622817,378.821798055353,16063.8115603371,5310.80498429933,6700.45857817987,830.641711354638,12841.9052738338,1758.10197555912,2261.78897074225,1917.16102666958,5937.05197297096,184.032090536018
3604,SAB,5,3604,98,,11,11,102,573615.8,431378.583333333,280541.166666667,6466909,AI,AI,TEMP ASSOC CTX,215.999366666667,2536.23333333333,2733.65,1989.98333333333,7259.86666666667,897.95,16212.3333333333,894.05,18004.3333333333,6459.46666666667,6298.06666666667,1602.73333333333,14360.2666666667,3209.6,3365.28333333333,2099.8,8674.68333333333,1242.75,1816.8,250.766666666667,1,AI,4257682.69090909,9.9435192784,6.54661290554182,1.51887997990268,255.063952944982,274.917755320113,200.128674528355,730.110382793449,90.3050494356248,1630.4421884665,89.9128341755335,1810.66007207766,649.615743260876,633.384065574023,161.183710561602,1444.1835193965,322.783102253557,338.439866118994,211.172718753745,872.395687126296,124.980901148307,182.711970393277,65.0963716344773,42.8581405350067,9.9435192784,1669.80496608813,1799.78012494124,1310.1649634363,4779.75005446567,591.192202070853,10673.8738727546,588.624520587389,11853.6905954129,4252.78280847479,4146.52029785144,1055.2073597257,9454.51046605193,2113.13602290396,2215.63479528445,1382.46604589162,5711.23686408003,818.201580403756
3607,CAA,2,3607,98,,11,11,91,387028,446289.5,478511,5355953,AI,AI,TEMP ASSOC CTX,174.13045,1869,1902.5,1364.5,5136,0,3415,241.5,3656.5,4562,3396.5,797.5,8756,2921.5,3526.5,2860.5,9308.5,2.5,1082.5,132,1,AI,4257682.69090909,8.2353133328,6.54661290554182,1.25795024872002,226.949470465933,231.017318117409,165.688899117585,623.655687700928,0,414.677603874351,29.3249315770588,444.00253545141,553.955850329367,412.431180544431,96.8390597627511,1063.22609063655,354.752743695144,428.216857997921,347.345618120814,1130.31521981388,0.303570720259408,131.446121872324,53.9134085456891,42.8581405350067,8.2353133328,1485.75033225816,1512.38095619109,1084.7010852682,4082.83237371745,0,2714.73375316298,191.978975516504,2906.71272867949,3626.53451886663,2700.02728920002,633.967838403361,6960.52964647001,2322.428890151,2803.37000893975,2273.93730627312,7399.73620536388,1.98735999499486
3608,CAB,3,3608,98,,11,11,109,615499.5,387492,234811,4336682,AI,AI,TEMP ASSOC CTX,207.0069,2111.75,3761.25,2299.5,8172.5,3.75,13472.75,260,13736.5,5693.5,5631.25,606,11930.75,2162.5,2601.5,1655.5,6419.5,143.5,2221.75,85.25,1,AI,4257682.69090909,6.6680822432,6.54661290554182,1.01855453184888,316.695254044524,564.067727844188,344.851775387892,1225.6147572766,0.56238058608593,2020.48347765046,38.9917206352912,2060.03757887184,853.843697834732,844.508180105705,90.8807027114863,1789.23258065192,324.30613797622,390.142158587346,248.272282737402,962.720579300968,21.5204304275549,333.191751236378,43.6533532685473,42.8581405350067,6.6680822432,2073.28123725172,3692.73306670441,2257.61108325338,8023.62538720952,3.68168800269632,13227.3232102205,255.263701520278,13486.2685997435,5589.7841715604,5528.66815071564,594.960781235726,11713.4131035118,2123.10674822155,2554.10969040386,1625.342530257,6302.55896888241,140.885927569846
3661,CAA,1,3661,97,,11,11,96,322956.583333333,296453.25,310312.75,4337066,AI,AI,TEMP ASSOC CTX,141.783966666667,1833.58333333333,2530.33333333333,2260.83333333333,6624.75,0,5735.08333333333,202.916666666667,5938,2979.75,2079.91666666667,586.583333333333,5646.25,2026.25,2190.91666666667,1866.5,6083.66666666667,65.0833333333333,1147,84.4166666666667,1,AI,4257682.69090909,6.6686726816,6.54661290554182,1.01864472175449,274.954765495164,379.435826909747,339.022987223733,993.413579628644,0,860.003722953355,30.4283440431179,890.432066996473,446.82804843933,311.893650501922,87.9610323283397,846.682731269592,303.846072036309,328.5386419867,279.890780237271,912.27549426028,9.75956332553393,171.9982453427,43.6572186401967,42.8581405350067,6.6686726816,1800.02241623086,2484.01948127228,2219.45226343423,6503.49416093737,0,5630.11147150044,199.202589806942,5829.31406130739,2925.21026847098,2041.84699753243,575.84682942549,5542.9040954289,1989.16261649109,2150.81531359931,1832.33659404349,5972.31452413389,63.892083219393
3662,CAB,2,3662,97,,11,11,95,104620,305160,293719.5,1636099,AI,AI,TEMP ASSOC CTX,96.29145,820.5,1214.5,828,2863,0,377.5,66,443.5,2080,1438.5,311.5,3830,1129,1280,1148,3557,17,72.5,21.5,1,AI,4257682.69090909,2.5156658224,6.54661290554182,0.384269829100549,326.15619797117,482.774774449708,329.137516051345,1138.06848847222,0,150.059676702153,26.235599105542,176.295275807695,826.81888090193,571.816807777609,123.824077596611,1522.45976627615,448.787748335711,508.811619016572,456.340420805488,1413.93978815777,6.75765431506385,28.8194081083605,16.4690903389543,42.8581405350067,2.5156658224,2135.21837486051,3160.5395688825,2154.73591027971,7450.49385402273,0,982.382616099748,171.754311688963,1154.13692778871,5412.86315625821,3743.46329340262,810.628304410785,9966.95475407162,2938.03966510362,3330.99271154352,2987.48408816559,9256.51646481273,44.2397469501873
