"","ID","EXPT","VALENCE","CONTEXT","SubROI_SubroiAGGR","GROUP","System","Ch1TotalperMM2","Ch2TotalperMM2","Ch3TotalperMM2","Ch4TotalperMM2","OLTotalperMM2","NormOLTotalperMM2"
"33",3307,"OLD","SHOCK","AB","RSPd","SAB","POST ASSOC CTX",750.096111104227,1592.81910275643,1142.39819342508,1040.69024615671,346.896748718904,0.151707704527403
"34",3307,"OLD","SHOCK","AB","RSPv","SAB","POST ASSOC CTX",844.129403847374,1101.86843022404,1075.95815773114,968.225972102804,263.193820585692,0.14566037735849
"35",3307,"OLD","SHOCK","AB","RT","SAB","THALAMIC",967.326343586301,1234.92519713955,2050.23146030282,2127.73722581367,516.977053460095,0.181670489296636
"36",3307,"OLD","SHOCK","AB","sAMY","SAB","CORTICO-AMY",1169.30607289575,2076.14495666736,1643.12324577154,1352.63989601056,663.540646662154,0.23995734091717
"37",3307,"OLD","SHOCK","AB","SSp","SAB","SOMAT CTX",877.06306562376,1099.89629469405,1034.37787364997,776.448525395242,177.062503324445,0.104198402806629
"38",3307,"OLD","SHOCK","AB","SSs","SAB","SOMAT CTX",889.862765888204,1040.59667882866,1050.28363107248,787.049444727155,179.383434120159,0.108831823513264
"39",3307,"OLD","SHOCK","AB","vACC","SAB","PFC",1236.84656245412,1576.48178517859,1528.85608421053,1104.13434796551,233.792433558138,0.0955493579687409
"40",3307,"OLD","SHOCK","AB","VENT","SAB","THALAMIC",755.327486724519,1926.81841880454,1995.96074075158,1961.65148251271,682.518526492405,0.212891103668001
"41",3307,"OLD","SHOCK","AB","Visc","SAB","VISC CTX",1086.35489633338,1333.45176324232,1309.76978503948,948.619617446075,288.931304819156,0.144962869553034
"42",3422,"OLD","SHOCK","AA","AcB","SAA","STRIATUM",42.0584789423488,2120.30453575905,793.072441361123,418.237207881986,88.1333022087149,0.0359667803613992
