idBysubroi,grp,SUBROI,AREAmm2,Ch1mm2,Ch2mm2,Ch3mm2,Ch4mm2,OLmm2
3425,SAA,ATN,29.8605441,591.616815,1106.14193,844.793715,927.243653,253.84668
3426,SAA,ATN,48.1334671,648.820912,1174.56737,805.801085,889.277307,210.103294
3429,SAA,ATN,51.9904782,967.888769,965.96534,941.576259,964.926688,161.683452
3431,SAB,ATN,48.9476478,587.382669,1380.06632,734.335593,780.875113,253.209307
3433,SAB,ATN,34.7274217,698.007476,1299.60699,939.401728,933.066677,209.431038
3507,SAA,ATN,48.5860258,858.744861,1292.61447,995.059777,990.511144,208.887223
3508,SAA,ATN,32.7695126,1042.58493,1019.36212,799.340542,751.521705,157.066724
3531,SAB,ATN,26.6174674,895.239192,1127.68054,964.517007,975.637524,195.473143
3539,CAA,ATN,45.7607289,975.115587,797.692714,1077.8893,1076.84037,162.759645
3540,CAA,ATN,50.4194478,821.865408,1011.79212,627.813302,682.197079,171.104611
3541,CAA,ATN,30.9945287,466.049996,1076.80295,674.764252,662.794398,199.035128
3542,CAA,ATN,43.5617225,509.024867,937.0612,709.958151,798.017112,197.926058
3595,SAA,ATN,28.8620067,764.084086,1521.30794,838.472538,902.432055,263.980259
3596,CAB,ATN,8.96249511,816.848423,1825.38454,1409.54052,1363.12487,318.884414
3597,SAB,ATN,8.35597649,882.482138,1724.39451,896.364417,1238.27538,458.474243
3602,CAA,ATN,32.5203907,943.961599,1003.83173,1003.86248,1308.04087,267.98571
3603,SAB,ATN,35.4276894,658.298647,1238.80504,895.231966,750.4582,209.327792
3604,SAB,ATN,37.7361344,684.913821,995.173475,928.923976,882.708326,207.016435
3607,CAA,ATN,36.5849456,562.444461,1203.71916,800.137859,1105.01736,312.614925
3608,CAB,ATN,25.3333177,888.079495,1146.94808,881.882123,826.776826,197.092227
3661,CAA,ATN,27.2271335,787.192673,976.305493,971.383932,1241.0414,222.902642
3662,CAB,ATN,21.2229562,719.645269,915.046888,1368.2354,1559.91464,255.619432
3663,CAB,ATN,13.9863094,447.938038,1285.68584,1170.71627,1610.71797,330.394521
3664,CAB,ATN,35.6876176,822.722333,1044.08763,848.865855,905.103848,216.937989
3858,CAB,ATN,35.7674175,570.211702,1348.57374,916.728193,1155.29728,339.219347
8056,SAA,ATN,10.0474226,725.06157,1261.11944,856.23949,1123.67126,274.796842
8060,SAA,ATN,6.83738892,98.5756417,1059.03,787.87386,733.174617,130.897922
8061,SAA,ATN,6.5206387,1059.71214,868.933284,516.207101,1437.58923,213.47602
8350,SAB,ATN,9.81236661,664.365719,906.61105,654.989795,1042.86768,151.135812
8351,SAB,ATN,24.1756187,949.386252,1782.08469,1048.86664,771.397011,160.368181
8352,SAB,ATN,9.4587755,996.006301,1414.98231,1121.49823,882.989558,113.016743
8358,CAA,ATN,1.60313097,228.303243,310.018338,989.314052,1082.25718,53.0212449
8364,CAB,ATN,1.5317848,412.590595,537.934573,490.277748,469.387085,28.7246616
8365,CAB,ATN,2.71233563,824.75044,877.103843,764.285946,741.427418,81.8482779
8487,CAB,ATN,8.18631925,187.996577,1640.05331,617.127166,962.703721,140.966894
8488,CAB,ATN,2.59330847,350.131891,440.749727,458.102078,559.131324,40.8744278
8489,CAB,ATN,3.63828296,1318.47909,1688.43382,663.774651,386.995738,36.0059955
8492,CAB,ATN,11.9997441,317.006761,956.770405,741.682485,969.020667,121.835932
8753,SAB,ATN,2.69964428,1038.28494,979.758713,453.393068,541.182412,106.680722
9204,CAB,ATN,13.1880367,928.493017,382.39202,407.263046,387.548208,37.9131489
9214,CAA,ATN,1.60313097,591.966605,358.049348,650.601864,505.261275,16.8420425
9221,CAA,ATN,5.00268923,173.306788,845.945012,548.504989,754.993929,84.9543076
9222,CAA,ATN,1.38531148,324.114833,1689.1508,464.15554,835.913088,127.04724
9224,CAA,ATN,1.55742735,861.677431,1172.44634,446.890829,644.010778,169.510314
9228,SAA,ATN,23.3545249,575.348891,1233.42265,787.641798,361.17198,30.7863253
9229,SAA,ATN,55.7628845,575.526182,1338.73993,1025.09044,682.658373,79.6587199
9265,CAA,ATN,8.74477249,620.027566,864.402134,536.549122,817.059564,70.4420842
